"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Apple","Orange","Banana","Tomato","Tomato","The others are sweet fruits"
"Elephant","Giraffe","Whale","Hawk","Hawk","The others are mammals."
"Car","Bike","Airplane","Boat","Boat","The others are land vehicles"
"Gold","Silver","Cotton","Iron","Cotton","The others are metals"
"Football","Basketball","Chess","Trivial Pursuit","Chess","The others are physical sports"
"Rose","Tulip","Fern","Oak","Oak","The others are flowering plants"
"Cat","Dog","Fish","Bird","Fish","The others are mammals"
"Rock","Hip-hop","Jazz","Picasso","Picasso","The others are music genres"
"Turkey","Chicken","Beef","Salmon","Salmon","The others are poultry"
"Hat","Gloves","Cane","Scarf","Cane","The others are pieces of clothing"
"Sun","Moon","Star","Cloud","Cloud","The others are celestial bodies visible in the night sky"
"Wheat, Rice, Potato, Sunflower, Sunflower, The others are staple foods.",,,,,
"Sugar, Salt, Pepper, Honey, Honey, The others are granular.",,,,,
"Sailboat","Rowboat","Motorcycle","Hot air balloon","Motorcycle","The others are primarily water vehicles"
"Table","Chair","Umbrella","Notebook","Notebook","The others are furniture."
"Diamond","Ruby","Rock","Paper","Paper","The others are minerals"
"Drum, Flute, Keyboard, Violin, Flute, The others are string instruments.",,,,,
"Knife","Fork","Spoon","Hammer","Hammer","The others are kitchen utensils"
"Bee","Wasp","Butterfly","Hummingbird","Hummingbird","The others are insects."
"Socks","Shoes","Gloves","Hat","Hat","The others are worn on hands or feet"
"Turnip","Carrot","Potato","Apple","Apple","The others are root vegetables"
"Butter, Cheese, Sugar, Salt, Sugar, The others are dairy products.",,,,,
"Bottle","Can","Bag","Book","Book","The others are containers"
"River","Lake","Mountain","Cloud","Mountain","The others are bodies of water"
"Bus","Train","Plane","Bicycle","Bicycle","The others are motorized vehicles"
"Eagle","Hawk","Penguin","Ostrich","Ostrich","The others can fly"
"Grapes","Banana","Apple","Carrot","Carrot","The others are fruits"
"Painting","Sculpture","Symphony","Song","Song","The others are visual arts."
"Shirt","Pants","Tie","Socks","Socks","The others are worn above the waist"
"obj_3: Plate",,,,,
"obj_4: Tablecloth",,,,,
"odd: Tablecloth",,,,,
"reason_for_similarity: The others are types of dishware.",,,,,
"Skirt","Dress","Gloves","Hat","Hat","The others are worn below the neck"
"Dolphin","Whale","Shark","Penguin","Penguin","The others are mammals"
"Lizard, Snake, Turtle, Sparrow, Sparrow, The others are reptiles.",,,,,
"Tractor, Truck, Motorcycle, Boat, Boat, The others are land vehicles.",,,,,
"obj_3: Watch",,,,,
"obj_4: Flashlight",,,,,
"odd: Flashlight",,,,,
"reason_for_similarity: The others are rechargeable.",,,,,
"Sofa","Bed","Lamp","Bookshelf","Lamp","The others are furniture where you can sit/lie down"
"Scissors","Knife","Spoon","Pen","Pen","The others are utensils"
"Hamster","Rabbit","Cat","Goldfish","Goldfish","The others are mammals."
"Mango","Peach","Apple","Carrot","Carrot","The others are fruits"
"Cheetah","Leopard","Tiger","Elephant","Elephant","The others are big cats."
"Salmon","Trout","Catfish","Dolphin","Dolphin","The others are freshwater fish"
"Harp","Guitar","Violin","Piano","Piano","The others are string instruments"
"Eagle","Hawk","Penguin","Bat","Bat","The others are birds."
"Butterfly","Moth","Bee","Spider","Spider","The others are pollinators"
"Pine","Spruce","Oak","Apple","Apple","The others are conifers"
"Tulip","Daffodil","Orchid","Pine tree","Pine tree","The others are flowering plants"
"Lion","Tiger","Cheetah","Cougar","Cougar","The others are native to Africa"
"Potato","Tomato","Carrot","Apple","Carrot","The others are fruits"
"Frog","Toad","Lizard","Turtle","Lizard","The others are amphibians"
"Whale","Dolphin","Shark","Penguin","Penguin","The others are mammals."
"Almond","Peanut","Walnut","Potato","Potato","The others are tree nuts"
"Rabbit","Hare","Squirrel","Dolphin","Dolphin","The others are mammals that live on land"
"Copper","Silver","Gold","Iron","Iron","The others are precious metals"
"Lime","Lemon","Orange","Apple","Apple","The others are citrus fruits"
"Gorilla","Lemur","Orangutan","Monkey","Lemur","The others are great apes"
"Strawberry","Raspberry","Blueberry","Coconut","Coconut","The others are berries"
"Coyote","Wolf","Fox","Hyena","Hyena","The others are native to North America."
"Dolphin","Shark","Tuna","Sparrow","Sparrow","The others are aquatic animals"
"Whale","Bat","Falcon","Dolphin","Falcon","The others are mammals."
"Crocodile","Alligator","Lizard","Komodo Dragon","Lizard","The others are semi-aquatic reptiles"
"Quartz","Feldspar","Granite","Diamond","Diamond","The others are minerals that are components of Granite"
"Jupiter","Saturn","Mercury","Mars","Mars","The others are gas giants"
"Frog, Toad, Turtle, Crocodile, Crocodile, The others are amphibians.",,,,,
"Maple","Oak","Pine","Rose","Rose","The others are types of trees"
"Cheetah","Jaguar","Lion","Kangaroo","Kangaroo","The others are big cats."
"Ruby","Garnet","Emerald","Topaz","Topaz","The others are birthstones of the summer months"
"Penguin","Ostrich","Hawk","Shark","Shark","The others are birds"
"Python","Anaconda","Cobra","Java","Java","The others are types of snakes."
"Silk","Wool","Cotton","Polyester","Polyester","The others are natural fibers"
"Iron","Cobalt","Nickel","Copper","Copper","The others are ferromagnetic."
"Raven","Crow","Sparrow","Kiwi","Kiwi","The others are capable of flight"
"Birch, Spruce, Cedar, Maple, Maple, The others are types of conifers.",,,,,
"Marble","Limestone","Basalt","Diamond","Diamond","The others are types of sedimentary rocks."
"Teak","Mahogany","Birch","Granite","Granite","The others are types of wood"
"Barracuda","Pike","Salmon","Porcupine","Porcupine","The others are fish"
"Sunflower","Daisy","Tulip","Oak Tree","Oak Tree","The others are flowers"
"Rye","Wheat","Oats","Apple","Apple","The others are types of grains"
"Elk","Moose","Caribou","Kangaroo","Kangaroo","The others are members of the deer family."
"Platinum","Palladium","Silver","Graphite","Graphite","The others are transition metals"
"Hummingbird, Hawkmoth, Butterfly, Dragonfly, Dragonfly, The others are pollinators.",,,,,
"Birch, Aspen, Cedar, Oak, Oak, The others are types of trees that have white bark.",,,,,
