"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Henry IV","Henry V","Twelfth Night","Romeo and Juliet","Romeo and Juliet","The others are history plays by Shakespeare"
"Red-tailed Hawk","Sharp-shinned Hawk","Northern Goshawk","Red-winged Blackbird","Red-winged Blackbird","The others are hawks."
"The Epic of Gilgamesh","The Aeneid","Paradise Lost","Moby Dick","Moby Dick","The others are ancient epic poems"
"Panamanian Golden Frog","Strawberry Poison Dart Frog","African Clawed Frog","Gila Monster","Gila Monster","The others are frogs."
"Death Adder","Inland Taipan","Green Tree Python","Blue Krait","Green Tree Python","The others are venomous snakes native to Australia"
"The Wheel of Time","Lord of the Rings","Dune","Harry Potter","Harry Potter","The others are not written by British authors."
"The Mahabharata","The Ramayana","The Divine Comedy","War and Peace","War and Peace","The others are religious texts."
"Diogenes","Democritus","Socrates","Aristotle","Aristotle","The others are Cynics"
"Twelfth Night","As You Like It","The Winter's Tale","Hamlet","Hamlet","The others are comedies by Shakespeare"
"Paradise Lost","The Kalevala","The Song of Roland","To Kill a Mockingbird","To Kill a Mockingbird","The others are epic poems."
"Lion Pride","Lion Pack","Lion Statue","Lion King","Lion King","The others are physical manifestations of lions."
"Serena Williams","Venus Williams","Mia Hamm","Lionel Messi","Lionel Messi","The others are female athletes."
"Sarah Millican","John Bishop","Jim Jefferies","Jerry Seinfeld","Jerry Seinfeld","The others are British comedians."
"Jimmy Carr","Frankie Boyle","Daniel Tosh","Joe Rogan","Joe Rogan","The others are British comedians."
"Saturday Night Live","The Tonight Show","The Bachelor","Jimmy Kimmel Live!","The Bachelor","The others are late-night talk shows"
"Bald Eagle","Golden Eagle","Philippine Eagle","Harpy Eagle","Harpy Eagle","The others are national symbols"
"Kemp's Ridley Turtle","Olive Ridley Turtle","Red-Eared Slider","Green Sea Turtle","Red-Eared Slider","The others are sea turtles"
"Frozen","Tangled","The Dark Knight","Toy Story","The Dark Knight","The others are Disney movies"
"Venus","Earth","Jupiter","Sun","Sun","The others are planets"
"Red-tailed Hawk","Gray Hawk","Zone-tailed Hawk","Peregrine Falcon","Peregrine Falcon","The others are Buteo Hawks."
"Cygnus, Lyra, Andromeda, Orion, Andromeda, The others are constellations in the Northern Hemisphere.",,,,,
"Monty Python's Flying Circus","Fawlty Towers","Downton Abbey","The Office (UK)","Downton Abbey","The others are British sitcoms."
"Spotted Turtle","Diamondback Terrapin","Aldabra Giant Tortoise","Komodo Dragon","Komodo Dragon","The others are Testudines (turtles and tortoises)"
"obj_3: Crystal Vase",,,,,
"obj_4: Wooden Sculpture",,,,,
"odd: Wooden Sculpture",,,,,
