"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Anakin Skywalker","Luke Skywalker","Han Solo","Yoda","Han Solo","The others are Jedi Knights"
"Chandler Bing","Janice Litman","Monica Geller","Ross Geller","Janice Litman","The others are from Geller family."
"Thrush","Blackbird","Albatross","Penguin","Penguin","The others can fly"
"The Terracotta Army, The Colossus of Rhodes, The Statue of Zeus at Olympia, The Great Pyramid of Giza, The Terracotta Army, The others are Ancient Wonders of the World.",,,,,
"Dr. Hibbert","Dr. Nick","Moe Szyslak","Principal Skinner","Moe Szyslak","The others are educators"
"WWI","WWII","Cold War","Napoleonic Wars","Napoleonic Wars","The others are 20th century conflicts."
"Pope Urban II","Pope John Paul II","Charles Darwin","Martin Luther","Charles Darwin","The others are religious leaders of the Christian faith."
"Killer Frost","Cheetah","The Atom","Batman","Batman","The others have superhuman abilities."
"The Illustrious Client","The Blanched Soldier","The Mazarin Stone","A Scandal in Bohemia","A Scandal in Bohemia","The others are titles of Sherlock Holmes stories where the title does not refer to a person."
"Ancient Rome","Ancient Greece","Mayan Empire","Ancient China","Mayan Empire","The others are Old World civilizations"
"Dadaism","Surrealism","Cubism","Industrial Revolution","Industrial Revolution","The others are art movements"
"Saladin","Richard the Lionheart","Karl Marx","Napoleon Bonaparte","Karl Marx","The others are military leaders who led significant campaigns."
"Mexican Cuisine","Thai Cuisine","Indian Cuisine","French Cuisine","French Cuisine","The others are spicy cuisines."
"Stephen Hawking","Albert Einstein","Carl Sagan","Isaac Newton","Isaac Newton","The others are known for their contributions to modern cosmology"
"Lithium","Sodium","Beryllium","Helium","Helium","The others are Alkali and Alkaline Earth Metals"
"Marc Antony","Lepidus","Hannibal","Julius Caesar","Hannibal","The others are Roman politicians."
"Lake Victoria","Lake Tanganyika","Lake Superior","Mount Kilimanjaro","Mount Kilimanjaro","The others are lakes"
"Public Sector","Private Sector","Tertiary Sector","Non-profit Sector","Non-profit Sector","The others are sectors of the economy"
"Cartouche","Hieroglyphics","Sphinx","Pyramid","Cartouche","The others are architectural structures in ancient Egypt."
"obj_3: Iron Man",,,,,
"obj_4: Thor",,,,,
"odd: Thor",,,,,
"reason_for_similarity: The others are not gods.",,,,,
"Atlantic Ocean, Bering Sea, Southern Ocean, Sahara Desert, Sahara Desert, The others are bodies of water.",,,,,
"Michelangelo","Raphael","Botticelli","Da Vinci","Da Vinci","The others are Ninja Turtles names."
"Deanna Troi","Beverly Crusher","Worf","Jean-Luc Picard","Jean-Luc Picard","The others are not Captains"
"Selective Attention","Divided Attention","Defense Mechanisms","Cognitive Dissonance","Cognitive Dissonance","The others are forms of attention."
"Orange Juice","Apple Juice","Milk","Coconut Water","Milk","The others are fruit juices"
"Insect","Bird","Fish","Lizard","Lizard","The others are invertebrates."
"Rue du Faubourg Saint-Honoré","Avenue des Champs-Élysées","Beale Street","Piccadilly Circus","Beale Street","The others are in France."
"Annunciation","Adoration of the Magi","The Girl with a Pearl Earring","The Last Supper","The Girl with a Pearl Earring","The others are works by Leonardo da Vinci."
"The Mirror of Galadriel","The Light of Earendil","The Horn of Gondor","The One Ring","The One Ring","The others are not inherently corruptive"
"obj_3: Blues",,,,,
"obj_4: Avalanche",,,,,
"odd: Avalanche",,,,,
"reason_for_similarity: The others are colors",,,,,
"Coq au Vin","Beef Bourguignon","Souvlaki","Tiramisu","Tiramisu","The others are savory dishes"
"The Petronas Towers","The Twin Towers","The Colosseum","The Eiffel Tower","The Colosseum","The others are Twin Towers"
"Atlantic Ocean","Black Sea","Arctic Ocean","Dead Sea","Dead Sea","The others are Oceans"
"Cathy","Blondie","Dilbert","Garfield","Garfield","The others are humans."
"Fred Flintstone","Barney Rubble","Elmer Fudd","Donald Duck","Donald Duck","The others are from Hanna-Barbera cartoons."
"Liszt","Tchaikovsky","Mozart","Beethoven","Beethoven","The others are not German composers"
"Lord of the Flies","The Catcher in the Rye","Pride and Prejudice","To Kill a Mockingbird","To Kill a Mockingbird","The others are set in England"
