"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Jazz","Blues","Hip Hop","Country","Country","The others are African American originated music genres"
"Common Frog","Leopard Frog","Red Salamander","Green Turtle","Green Turtle","The others are Amphibians."
"Hong Kong","Vatican City","New York","Sydney","Sydney","The others are not in Asia."
"Oak Tree","Pine Tree","Rose","Bamboo","Rose","The others are types of trees."
"Oak Tree","Willow Tree","Rose","Maple Syrup","Maple Syrup","The others are types of plants."
"Costa Rican Tarrazu","Kenyan AA","Hawaiian Kona","Colombian Supremo","Colombian Supremo","The others are Single Origin Coffees"
"Watermelon","Grapefruit","Mango","Almond","Almond","The others are fruits with high water content"
"Syrah","Malbec","Riesling","Chardonnay","Chardonnay","The others are red wines."
"Paul Revere","John Hancock","Betsy Ross","George Washington","George Washington","The others are not presidents."
"Tom","Jerry","Road Runner","Scooby-Doo","Scooby-Doo","The others are not dogs"
"Barn Swallow","Tree Swallow","Barn Owl","Red Kite","Red Kite","The others are Swallows."
"Peter Griffin","Chris Griffin","Meg Griffin","Homer Simpson","Homer Simpson","The others are Griffins"
"Munster","Roquefort","Cheshire","Gouda","Gouda","The others are British cheeses."
"Satraps, Phalanx, Hoplites, Legionnaire, Satraps, The others are military formations in ancient civilizations.",,,,,
"Kneeling","Prostrating","Standing","Running","Running","The others are static body positions"
"Chiton","Toga","Peplos","Kimono","Kimono","The others are ancient Greek and Roman garments."
"Rock With You","Don't Stop 'Til You Get Enough","Tito Jackson","Billie Jean","Tito Jackson","The others are songs by Michael Jackson"
"Planting a tree","Raising a child","Drinking a coffee","Building a house","Drinking a coffee","The others are long-term commitments"
"Salvator Mundi","Saint John the Baptist","Codex Leicester","The Last Supper","The Last Supper","The others are works owned by private individuals."
"Orca Hunting Seal","Orca Hunting Fish","Dolphin Playing","Dolphin Hunting Fish","Dolphin Playing","The others are hunting."
"Chimpanzee","Human","Gorilla","Dolphin","Dolphin","The others are primates"
"Right to peaceful assembly","Right to freedom of association","Right to a nationality","Right to bear arms","Right to a nationality","The others are first amendment rights"
"Sinkhole","Cavern","Grotto","Oasis","Oasis","The others are types of caves"
"Curry Powder","Turmeric","Cardamom","Cinnamon","Cinnamon","The others are ingredients in curry"
"Alexander IV","Heracles","Philip III","Julius Caesar","Julius Caesar","The others are Macedonians."
"The Great Train Robbery","The Baker Street Robbery","The Harry Winston Heist","The Mona Lisa Theft","The Mona Lisa Theft","The others are robberies in the UK"
"Florida","Alaska","Louisiana","Texas","Alaska","The others are in the contiguous United States"
"Right to social security, Right to adequate standard of living, Right to freedom of assembly, Right to bear arms, Right to bear arms, The others are social rights.",,,,,
"obj_3: Croissant",,,,,
"obj_4: Pretzel",,,,,
"odd: Pretzel",,,,,
"reason_for_similarity: The others are pastries.",,,,,
